,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal,Somatomotor_Dorsal
37,-0.4721,-1.0456,-0.863,-0.1771,-2.1544,-2.2443,-3.7265,-1.179,-0.3479,-0.1082,0.1787,0.2808,-1.9497,-3.1518,0.4602,1.7234,-0.6402,0.3297,1.7607,1.8694,-0.1717,1.9635,-0.2055,-1.0346,1.1492,-2.2077,-1.2789,-1.3136,-1.8704,-0.7376,0.9531,-3.0235
38,-0.7867,0.3495,-0.3046,0.2764,0.6559,-0.8039,-3.5033,-1.5246,-0.4386,0.1338,-0.8988,0.0294,-0.9835,-2.7296,0.6493,1.975,1.5431,0.6118,0.4801,0.6336,0.3924,2.8209,-0.5926,-1.7363,0.5748,-0.4365,-0.0228,0.1865,-0.7662,-1.0636,0.4559,-1.9912
39,-0.4079,0.3383,2.5279,2.7136,5.3789,1.4232,-1.2716,0.2516,-0.3779,0.8506,-2.3668,0.5629,1.4935,-2.5539,-0.5631,-0.816,0.7046,2.1097,0.1114,-0.0743,-1.7293,2.1722,-0.5357,0.7527,0.476,0.3263,3.5399,3.2942,4.1558,0.6257,-0.4539,-0.8908
40,0.3349,1.4044,3.6629,3.4501,7.2597,1.3887,-1.388,1.4812,-0.4497,1.6469,-2.6246,1.1346,1.9761,-0.479,-0.2044,-0.2285,1.9007,3.6166,0.4153,1.7939,-1.9759,1.6865,-0.572,1.3835,-0.1162,0.8381,3.901,3.1611,4.6339,1.4012,-0.7215,-0.832
41,0.7146,1.4229,1.2288,1.7202,5.0721,2.1631,1.6295,0.763,-0.8845,0.4777,-1.6789,0.8339,0.2753,0.1182,1.078,-1.0846,1.417,3.0959,-1.3715,-0.6214,-1.1601,-0.1647,-0.1255,-0.9968,-0.2188,0.8863,1.3008,1.0542,1.3508,0.0271,-1.7984,-2.7942
42,0.2144,1.6702,0.8332,0.8455,3.9015,1.3401,0.8875,1.4488,-0.0733,0.9199,0.5377,0.9418,0.2408,0.1814,0.3023,-1.1948,0.9819,1.7581,0.2287,2.4036,-1.6936,-1.1118,1.2664,0.1173,0.9318,1.0033,-0.0844,0.5638,0.709,1.3268,-0.061,-0.8998
43,-0.9949,3.5519,0.8567,-0.1742,3.7925,1.8227,0.656,1.0164,0.8732,0.9678,1.3128,1.3288,0.5162,1.0613,-0.4058,-0.1205,1.5991,-1.1476,0.5271,3.8072,-2.0442,-0.9924,0.7929,0.5547,0.092,0.4257,-1.0388,0.4618,0.24,1.361,1.1159,-0.126
44,-1.5462,-0.3791,1.1043,0.4425,2.9839,2.4946,-0.6022,-0.4248,0.7844,-1.3823,1.4759,2.1894,-0.0299,-0.8364,-0.5493,-3.1309,-1.0414,-3.0003,0.3554,-2.2813,-3.9456,-2.4269,0.6587,0.7636,-1.1687,-0.2092,-0.0384,1.4,1.8441,0.2895,-0.7515,0.6002
45,-1.5659,-3.0696,1.2047,1.0032,4.1408,1.7401,-3.0187,-0.3672,0.6577,0.0354,1.4369,2.2575,0.5424,-0.9076,-0.312,-1.8185,-0.1443,-2.6332,0.8279,-1.6439,-3.3996,-1.4227,0.132,1.941,-1.334,-0.0508,0.7199,1.3477,2.0797,0.7069,-0.6461,1.6959
46,-2.2208,-4.2206,-0.9796,-1.119,1.2169,0.4994,-1.8944,-1.4777,-0.8456,-0.4937,0.862,0.4317,-2.221,-0.8292,-0.0496,-0.0351,0.1325,-2.6781,-0.131,-2.8449,-1.0572,-0.6962,-1.1116,-1.0709,-1.5539,-0.0611,-0.7184,0.6519,-1.293,-0.4142,-0.6212,-0.2665
47,-1.4541,-2.6152,-1.0282,-0.5818,0.4689,-0.2929,0.5382,0.0738,-0.403,0.907,-0.4728,0.9575,-0.6077,0.0162,0.5478,1.3219,1.0203,-0.7159,-0.6251,0.8837,0.9229,0.5314,0.3212,-1.3512,-0.1904,-0.3835,-0.0532,0.6458,-1.0839,0.6398,1.2378,0.4378
48,0.0947,-1.1077,-1.0492,-1.2288,0.8475,-0.3719,4.2612,0.3878,-0.1233,1.4823,-1.0871,1.2138,1.4272,1.1182,0.9343,1.3691,1.5343,-0.1713,-0.9869,2.8013,1.4931,-0.0485,0.8583,0.7493,1.1678,0.388,1.1793,1.2155,-0.2788,0.174,2.8862,-0.3295
49,-0.1072,-2.009,-0.7052,-1.5939,-1.3973,-1.1204,4.4976,-0.3923,-0.6752,0.0177,-0.9185,-0.0266,1.1558,0.3495,0.8685,-0.4402,0.258,-0.0659,0.015,1.0309,-0.1255,-2.468,0.5423,2.6979,1.1671,0.6473,1.259,0.8465,0.6007,-0.7724,2.5616,-0.6317
50,0.4721,0.9236,-0.5745,-2.7128,-4.5219,0.2094,9.1223,0.826,0.4505,0.1413,0.0307,-1.5521,1.7044,1.9393,1.7783,-0.0479,1.5022,1.3769,0.1492,1.4518,2.3126,-0.8992,1.3236,3.4428,1.3468,1.9085,0.3291,0.3544,-1.6623,-1.6332,2.7218,-1.1916
51,-0.381,1.9297,-0.6897,-2.6936,-4.5761,0.0114,7.2794,0.4521,0.1862,-0.1467,0.1301,-2.0482,0.4925,2.2596,1.4143,-0.6644,1.2124,1.5429,0.221,1.0753,2.4046,-0.3152,1.1622,2.2356,0.9462,1.8404,-0.0657,-0.0735,-2.0143,-1.5282,1.874,-1.4343
52,-1.1325,2.9671,-0.7387,-2.5854,-4.1802,-0.0317,5.3258,0.0395,-0.1697,-0.3992,0.1751,-2.3887,-0.8714,2.6123,0.9644,-1.3377,0.8062,1.6207,0.0875,0.5465,2.4862,0.4587,0.9858,0.8068,0.6343,1.7859,-0.2352,-0.3479,-2.1734,-1.2925,0.9954,-1.823
53,-1.8117,3.8148,-0.7757,-2.4744,-3.7525,-0.17,3.3025,-0.3143,-0.4225,-0.5523,0.3192,-2.5794,-2.0017,2.9311,0.4976,-1.93,0.3904,1.5808,0.0171,0.1024,2.5673,1.167,0.8244,-0.37,0.3964,1.7013,-0.3726,-0.5909,-2.3332,-1.0517,0.1858,-2.1117
54,-2.6667,-0.056,0.0765,0.1532,-4.5467,-4.6242,-5.8963,-0.5173,-0.877,-1.0751,0.4932,0.1836,-1.3739,1.8122,-1.7787,-4.556,-1.5532,0.8113,0.057,-1.7901,-0.3964,-1.1505,1.423,0.2907,0.2273,0.0973,0.2108,-0.3471,0.0908,1.4172,-0.2999,1.7011
55,-2.4599,2.0734,-0.6942,-1.5029,-2.4137,-2.4072,-4.0168,0.3085,0.5503,0.8737,2.1349,-0.5115,-0.9209,2.372,-0.6769,-0.7289,-0.2812,-0.6407,1.2862,1.2348,2.4537,1.67,0.509,0.6014,0.4313,0.5595,-0.7737,-1.1354,-2.719,-0.0196,-0.6459,0.0196
56,-1.9358,-2.2884,1.031,0.5347,-3.4071,-2.8384,-3.4536,0.8758,0.0037,-0.9116,2.5144,-0.5738,0.9023,-0.2419,-1.5729,-2.065,-2.7811,-1.5372,0.9503,0.6887,-0.1056,0.8448,0.8874,3.3016,0.4199,1.3748,1.5905,0.9717,0.0817,0.6211,-1.2953,0.6321
57,-1.4875,0.1241,-0.3699,0.2163,-0.6105,-3.7448,-8.3362,1.5776,0.8376,2.1729,2.6296,1.504,0.5309,0.8114,-1.233,1.5192,-0.0916,-2.6557,1.7846,1.858,1.8462,1.1637,0.0036,1.5303,0.4271,-0.079,-0.6251,-1.3952,-1.4118,0.9706,-0.8174,2.1193
58,-0.5687,0.7884,-0.165,1.0642,0.2219,-3.0181,-7.3643,1.8975,-0.1264,1.8735,1.4412,1.2214,-0.2303,0.1254,-1.0955,1.9585,0.3651,-2.5147,0.9582,0.9201,1.4281,0.8211,-0.3489,0.3265,0.1408,0.3713,-0.2277,-1.3751,0.1462,1.1634,-0.9666,1.8262
59,0.3909,1.627,0.0451,1.9328,1.097,-2.166,-6.158,2.2092,-1.2454,1.4774,0.0888,0.7906,-1.1716,-0.5688,-0.9487,2.313,0.847,-2.3051,0.0062,-0.1649,0.9781,0.4676,-0.7266,-1.0854,-0.1783,0.9262,0.2187,-1.3455,1.8587,1.3482,-1.1441,1.3992
60,1.3171,2.4547,0.1502,2.6906,1.7367,-1.3585,-4.8831,2.3878,-2.2312,1.0976,-1.1373,0.4021,-2.0518,-1.1845,-0.6921,2.7779,1.2719,-1.9126,-0.878,-1.131,0.6441,0.1789,-1.1235,-2.4383,-0.5171,1.3134,0.5029,-1.3572,3.1689,1.4175,-1.3175,0.8344
61,0.9601,0.6654,2.2676,1.7959,0.4435,1.1081,1.2699,2.6334,-2.3283,0.7435,-1.1205,-1.2556,-0.8361,-0.7665,-0.0576,2.4968,1.1739,-0.8867,-1.8045,-1.7012,2.2688,1.7905,-0.805,-0.3378,-0.026,4.1397,2.6832,0.0161,4.3124,2.9307,-0.2579,-0.4849
62,2.327,3.6962,-0.5832,2.1733,-0.4515,0.2972,0.5963,0.5413,-0.8491,0.7645,-1.1897,0.4335,-2.0354,-0.5727,1.6113,3.8821,1.5943,2.1167,-1.1178,-1.4284,1.9103,0.8194,-1.1947,-2.8168,-0.8549,-0.2443,-0.6581,-1.4822,-0.2521,-0.2476,-0.9061,-1.7953
63,1.0738,3.4215,1.3882,2.3981,2.8758,2.3947,2.4814,1.5984,2.248,3.1184,-0.0879,1.9055,1.1955,0.9117,2.1505,3.1664,2.5107,2.4372,0.8062,0.6203,2.9024,2.6082,-0.5104,1.5938,0.6765,0.3039,1.0069,-0.2447,-0.0814,1.1217,0.4871,-0.1861
64,-0.0568,2.441,2.1656,2.1432,2.8712,3.3607,4.3386,0.4142,2.8717,1.9444,0.5691,2.4761,0.3893,0.9831,2.0824,2.2721,2.8212,1.8281,1.2018,0.6786,2.058,2.4014,-0.3488,2.2448,0.7335,0.3329,1.2376,0.7735,0.888,0.0971,0.8464,-0.1678
65,-1.908,0.3617,2.1031,1.2416,1.162,2.9315,5.0797,-0.2431,1.0275,-0.1145,0.5448,1.5979,-0.8699,0.4731,1.6511,2.1824,2.7593,1.0671,0.2597,1.158,1.6114,1.6023,-1.0628,1.0474,0.1684,1.5365,1.0875,1.5622,1.7986,0.1781,0.9511,-1.4021
66,-1.6039,-0.474,0.748,0.8909,1.5635,1.06,2.5059,0.129,-0.6085,-0.5308,-0.0953,0.8313,-0.6859,-0.8981,0.7712,3.1308,2.708,1.043,-0.823,2.3244,0.9885,1.8254,-0.7012,0.0055,0.6643,1.9806,1.1405,1.9753,2.7532,1.4186,1.2982,-1.6004
67,0.816,0.7595,0.1344,0.5304,2.1081,-0.5038,0.7399,0.1264,-0.3556,0.5847,-0.4336,1.2206,0.2857,-0.5548,0.1262,3.1952,1.5151,1.2414,-0.0011,4.3883,0.6223,2.7501,0.7081,0.2441,1.0843,1.2123,1.3906,1.0758,2.3494,1.6832,2.4191,0.3454
68,3.1889,1.1673,0.6657,0.0995,2.2282,-0.7534,1.3851,0.6797,1.4797,1.5809,-0.0894,1.9952,2.8048,1.9079,-0.2003,0.8192,-1.0129,0.2862,1.4366,3.6752,0.6005,2.2247,1.3053,0.5164,0.3122,0.3254,0.8448,-1.0781,1.1924,-0.1322,3.32,2.0576
69,2.4615,1.5276,1.3067,0.1128,2.6587,-1.2494,5.0064,1.0551,3.3762,2.1958,-0.2425,1.7721,4.5289,2.5028,-0.1866,-1.0308,-1.9883,0.6608,2.6306,4.9651,-0.003,1.4385,1.0226,0.8728,-0.2461,-0.4506,-0.0319,-1.7209,1.4081,-1.4904,3.812,1.1119
70,2.3198,0.747,1.5314,0.1275,2.6966,-0.8218,4.9173,1.0499,3.4314,1.9431,-0.1228,1.564,4.523,2.4608,-0.2078,-1.3819,-2.057,0.3509,2.57,4.1321,-0.1339,1.1532,0.886,1.1784,-0.2274,-0.2976,0.1117,-1.4806,1.2883,-1.5052,3.4223,1.1723
